split,position,site_kind,site,variant,n_families,min_family_delta,max_family_delta,all_families_positive,all_families_ci_positive,delta_affine,ci_lo_affine,delta_threshold,ci_lo_threshold
calib,answer,band,L16+24+31,gram_random,2,-0.0005208338300387064,0.009895825386047363,False,False,0.009895825386047363,0.0020833322654167812,-0.0005208338300387064,-0.003125000496705373
calib,answer,band,L16+24+31,jlens_answer,2,0.027343746523062387,1.1812499940395356,True,False,1.1812499940395356,0.892662758231163,0.027343746523062387,-0.01848958544433117
calib,answer,band,L16+24+31,jlens_offvalue,2,-0.010937505960464477,-0.0007812519868214925,False,False,-0.010937505960464477,-0.038548188656568526,-0.0007812519868214925,-0.003906250496705373
calib,answer,band,L16+24+31,jlens_value,2,-0.002864585816860199,0.3268229136864344,False,False,0.3268229136864344,0.2135416622211536,-0.002864585816860199,-0.00807291865348816
calib,answer,band,L16+24+31,logit_value,2,-0.014062500993410746,0.42916666467984516,False,False,0.42916666467984516,0.26848957595725853,-0.014062500993410746,-0.025000002992649872
calib,answer,band,L16+24+31,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,answer,band,L16+24+31,whole_state,2,0.4083333283662796,5.615624990065893,True,True,5.615624990065893,4.489947927494844,0.4083333283662796,0.24842447700599832
calib,answer,band,L8+16+24,gram_random,2,4.967053731282552e-10,0.00859375,True,False,0.00859375,0.0010416615506013236,4.967053731282552e-10,-0.002864585357407729
calib,answer,band,L8+16+24,jlens_answer,2,0.011458329856395721,0.2802083224058151,True,True,0.2802083224058151,0.19895831935107708,0.011458329856395721,0.004166668566564719
calib,answer,band,L8+16+24,jlens_offvalue,2,-0.000520836313565572,0.01770832439263662,False,False,0.01770832439263662,-0.0015624924749135971,-0.000520836313565572,-0.003906251514951387
calib,answer,band,L8+16+24,jlens_value,2,-1.986821492513021e-09,0.1291666567325592,False,False,0.1291666567325592,0.08645832126339277,-1.986821492513021e-09,-0.002610682907203833
calib,answer,band,L8+16+24,logit_value,2,-0.004687499503294627,0.4489583373069763,False,False,0.4489583373069763,0.28410807420810064,-0.004687499503294627,-0.008079429430266221
calib,answer,band,L8+16+24,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,answer,band,L8+16+24,whole_state,2,0.3765624990065893,5.5890625069538755,True,True,5.5890625069538755,4.487194023132324,0.3765624990065893,0.2247395818432172
calib,answer,single,L16,gram_random,2,-2.9802322387695314e-09,0.006510405739148458,False,False,0.006510405739148458,0.0002604175855716069,-2.9802322387695314e-09,-0.002083335816860199
calib,answer,single,L16,jlens_answer,2,0.004687506953875224,0.016927081843217215,True,False,0.004687506953875224,-0.005729151368141174,0.016927081843217215,0.009628900438547135
calib,answer,single,L16,jlens_offvalue,2,-0.007552084326744079,0.0010416607062021892,False,False,-0.007552084326744079,-0.025520823448896408,0.0010416607062021892,-0.0013020887970924377
calib,answer,single,L16,jlens_value,2,-2.9802322387695314e-09,0.05598957538604736,False,False,0.05598957538604736,0.029166673943400383,-2.9802322387695314e-09,-0.0026041716585556668
calib,answer,single,L16,logit_value,2,-0.001822917660077413,0.06354165077209473,False,False,0.06354165077209473,0.03177083278695742,-0.001822917660077413,-0.004687500993410746
calib,answer,single,L16,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,answer,single,L16,whole_state,2,0.34713541517655055,4.508072909712792,True,True,4.508072909712792,3.568964830016096,0.34713541517655055,0.2093489588300387
calib,answer,single,L24,gram_random,2,0.0007812480131785075,0.0010416651765505472,True,False,0.0007812480131785075,-0.0041666826357444125,0.0010416651765505472,-0.0013020868102709452
calib,answer,single,L24,jlens_answer,2,0.049739579856395724,2.1169270813465118,True,True,2.1169270813465118,1.5713346424698829,0.049739579856395724,0.02630208180596431
calib,answer,single,L24,jlens_offvalue,2,-0.01614583929379781,-0.000260418156782786,False,False,-0.01614583929379781,-0.049739595353603366,-0.000260418156782786,-0.002343752483526866
calib,answer,single,L24,jlens_value,2,-0.0013020848234494527,0.42239582041899365,False,False,0.42239582041899365,0.24192706984778245,-0.0013020848234494527,-0.004166664704680443
calib,answer,single,L24,logit_value,2,-0.003125000496705373,0.4117187370856603,False,False,0.4117187370856603,0.24478514544665814,-0.003125000496705373,-0.00651041716337204
calib,answer,single,L24,noop_same_value,2,0.0,0.0,False,False,0.0,0.0,0.0,0.0
calib,answer,single,L24,whole_state,2,0.3765624990065893,5.5890625069538755,True,True,5.5890625069538755,4.487194023132324,0.3765624990065893,0.2247395818432172
calib,answer,single,L31,gram_random,2,-0.00026041964689890544,0.0010416616996129354,False,False,0.0010416616996129354,-0.001041674663623174,-0.00026041964689890544,-0.0026041696468989055
